LineID,PurchaseID,ItemID,QtyPieces,UnitCost,BoxesQty,ReceivedUnits,PackSizeUsed
50378b34,a1578cc1,0086,40,4.7,,,
43dd1549,6306d763,52149040,,2,10,,100
,,,,,,,
69dc9f4b,9f636573,0086,,4.7,4,40,10
c60770d3,9f636573,c80ae9f2,,4.5,1,12,12
b9143ea3,9f636573,0038,,6.12,1,16,16
e2e8f65e,683bf08a,cb9e809e,24,,2,24,
35e7317a,c1e1d389,0049,,1.93,1,24,24
c2342d84,c1e1d389,cb9e809e,,,5,60,12
aca96549,c1e1d389,0064,,2.08,1,27,27
8fc3621f,c1e1d389,0032,,2,2,54,27
9a2f4b82,557cdc68,cf6c9481,20,,,20,
e068266b,557cdc68,bb4d1bd1,48,,,48,
258eaa66,557cdc68,0024,10,2.4,,10,
891737b4,d97919fb,0011,,3.5,1,24,24
b79a7bd0,d97919fb,02d86a9b,24,,,24,
fb022d25,d97919fb,0032,,2,2,54,27
aa57c17a,d97919fb,1b6b5ed6,120,,,120,
5aa49eb1,d97919fb,70bdbe11,24,,,24,24
737a2d0d,d97919fb,0029,48,2.25,,48,
bda0d345,d97919fb,406a1fee,48,,,48,
5c227a5b,e4b28613,0033,24,1.33,,24,
351317a3,e4b28613,0af806f8,,2.66,4,60,15
c0b629c5,e4b28613,0001,,2.8,6,90,15
35de1f00,49752fc8,eda833ca,,,6,108,18
4c8305fe,49752fc8,f30d8158,30,,,30,
c6acf998,80a016cc,0014,30,5.9,,30,
30a8a4fd,80a016cc,a19879cf,48,,,48,
73010df4,80a016cc,02d86a9b,24,,,24,
4a40604b,80a016cc,bb4d1bd1,24,,,24,
5874fa55,80a016cc,0038,18,6.12,,18,16
cbdab8c9,80a016cc,0032,,2,2,54,27
4baa1552,80a016cc,0064,,2.08,2,54,27
6d01e564,80a016cc,220a28b9,12,,,12,
31ae74c9,80a016cc,0011,,3.5,2,48,24
eec82aff,80a016cc,ed187a9e,24,3.5,,24,
1411baef,80a016cc,70bdbe11,24,,,24,24
6a36aae8,fbd37e83,c099f042,,,4,80,20
d358bdf3,fbd37e83,0021,,2.25,2,48,24
e4977324,fbd37e83,b3204174,48,,,48,
16d60217,56c2e6a0,0049,,1.93,2,48,24
c3c5ff6f,56c2e6a0,cb9e809e,,,5,60,12
93ca3c79,8efceb90,0002,,0.3,10,120,12
937681f6,042b4059,0014,30,5.9,,30,
19b5e5c0,042b4059,0011,,3.5,2,48,24
95deb780,042b4059,bb6c2490,,2.78,8,144,18
e088a983,042b4059,0001,,2.8,2,30,15
f66dd816,042b4059,12b96290,,3,2,30,15
e6542ab3,042b4059,a19879cf,48,,,48,24
8e7e48cb,042b4059,02d86a9b,24,,,24,24
04d9f6a7,042b4059,bb4d1bd1,24,,,24,24
2890637d,042b4059,0029,48,2.25,,48,
5cba296d,60491f07,c099f042,,,6,120,20
0ee625c9,05b7d2e6,0002,,0.3,20,240,12
f9426c8e,7f904a80,cf6c9481,30,,,30,
0d55cceb,b0a218ab,0001,,2.8,4,60,15
ab00e6e8,b0a218ab,12b96290,,3,2,30,15
5c9ddce6,b0a218ab,0014,15,5.9,,15,
868885ff,b0a218ab,02d86a9b,72,,,72,24
329ee4bd,b0a218ab,bb4d1bd1,72,,,72,24
8eafe69b,b0a218ab,0011,48,3.5,,48,24
df35c8c0,b0a218ab,0029,72,2.25,,72,24
06f48e4e,3f2a94d8,0001,,2.8,2,30,15
07eb031e,3f2a94d8,0049,,1.93,1,24,24
c2073a32,3f2a94d8,0064,,2.08,2,54,27
c69754bc,3f2a94d8,0032,,2,2,54,27
3a8f80cf,3f2a94d8,0024,10,2.4,,10,
b786c96a,e78fc3c9,0001,,2.8,22,330,15
236e44f8,e78fc3c9,12b96290,,3,7,105,15
41d8caaa,ead44bd8,0027,25,3.28,,25,
9a701f6c,ead44bd8,0029,,2.25,1,24,24
67840516,ead44bd8,70bdbe11,48,,,48,24
ea99cba0,ead44bd8,0014,30,5.9,,30,
46e5612a,ead44bd8,bb6c2490,,2.78,3,54,18
acd71c30,ead44bd8,a19879cf,,,3,72,24
58b62aad,ead44bd8,bb4d1bd1,,,3,72,24
bf1aa088,ead44bd8,02d86a9b,,,4,96,24
896c41af,691f5194,cf6c9481,30,,,30,
fbbb480e,37093ad1,0002,,0.3,99,1188,12
6bc5632f,94b7eba6,0002,,0.3,5,60,12
faef5939,f19003a8,0024,10,2.4,,10,
a90efe46,f19003a8,bb6c2490,,2.78,2,36,18
246d140f,f19003a8,220a28b9,12,,,12,
6fe5e4be,fb40a272,0011,,3.5,5,120,24
76b4e990,fb40a272,0029,,2.25,5,120,24
46b8bafa,fb40a272,70bdbe11,72,,0,72,24
e4ba5070,fb40a272,0027,50,3.28,,50,
effb6aaa,fb40a272,0024,10,2.4,,10,
9c073489,fb40a272,0014,60,5.9,,60,
ae65a43b,4c061a87,cb9e809e,,,3,36,12
cde7928e,4c061a87,0033,24,1.33,,24,
0d06fae0,b00e6b07,1039e79c,48,,,48,
095fd249,b00e6b07,951a092f,30,,,30,15
71679415,b00e6b07,cf6c9481,48,,,48,
c7d88548,4c061a87,6c787857,,,1,24,24
803c4bf8,32e56c2c,0f694cb5,48,,,48,
32ae3e18,626d0b59,0021,,2.25,3,72,24
1d8dcf49,626d0b59,c099f042,,,3,60,20
51939601,0407b6ca,0032,,2,2,54,27
3d4ad1bd,0407b6ca,0064,,2.08,2,54,27
f334a219,0407b6ca,a19879cf,,,2,48,24
a88613e7,0407b6ca,eda833ca,,,2,36,18
240ad157,9b692f1d,0011,,3.5,2,48,24
20845107,9b692f1d,0029,,2.25,2,48,24
4c79fba8,9b692f1d,83dd14b5,,0.45,4,0,
a7622c6f,9b692f1d,0027,,3.28,1,0,
3b8875bc,9b692f1d,0019,,1.33,2,0,
7d5c0f00,9b692f1d,a19879cf,,,1,24,24
a5462acb,9b692f1d,0032,,2,3,81,27
bad7a50e,9b692f1d,0064,,2.08,2,54,27
f68d7569,9b692f1d,70bdbe11,,,1,24,24
313cd631,15948e0d,bb4d1bd1,,,1,24,24
55ae9528,15948e0d,02d86a9b,,,3,72,24
fb80d64a,15948e0d,a19879cf,,,2,48,24
501d9653,15948e0d,6c787857,,,1,24,24
0f202c66,15948e0d,0033,,1.33,1,0,
4e291d0f,15948e0d,eda833ca,,,2,36,18
134000cc,15948e0d,0f694cb5,,,2,24,12
77f48efa,8588cab5,7221daf3,29,,,29,0
8c8aa3ef,8588cab5,0038,16,6.12,,16,16
979e813b,ab54e6b0,c099f042,,,8,160,20
73544fd3,4046a521,0001,,2.8,12,180,15
eaa7fccc,4046a521,12b96290,,3,12,180,15
8fff79a1,4046a521,c22010ef,,,5,75,15
4b7d222e,4046a521,d5b5f9d1,,2.6,1,15,15
61f34dba,138a44eb,8ed00567,24,,,24,
ecbf08be,138a44eb,0011,,3.5,4,96,24
8171a697,138a44eb,0014,30,5.9,,30,
c4f1005f,467b9a30,02d86a9b,,,2,48,24
3037badc,467b9a30,a19879cf,,,2,48,24
3ffae986,467b9a30,6c787857,24,,,24,24
3d2ef391,8c24f1f2,0002,,0.3,101,1212,12
2421ca38,851a886d,8ed00567,48,,,48,
0c439a8b,851a886d,0024,20,2.4,,20,
ea18dacd,851a886d,0027,,3.28,3,75,25
76f0322f,851a886d,0033,,1.33,1,24,24
0b7c7d75,851a886d,0032,,2,2,54,27
31d151be,c3c8d6b8,0029,,2.25,5,120,24
ceec173e,c3c8d6b8,0011,,3.5,5,120,24
9346f244,c3c8d6b8,70bdbe11,,,5,120,24
614fa747,c3c8d6b8,0027,,3.28,1,25,25
f4e6b46c,c3c8d6b8,0f694cb5,12,,,12,12
20fe6d86,c3c8d6b8,83dd14b5,,0.45,4,96,24
ebd099e3,c3c8d6b8,8ed00567,,,12,0,
a5e408c2,13a4ee3b,8ed00567,,,12,144,12
163ae2bc,1e8be36f,0014,60,5.9,,60,
59873b71,1e8be36f,0027,,3.28,2,50,25
234219a6,1e8be36f,0024,20,2.4,,20,
3d162552,1e8be36f,0032,,2,3,81,27
490eb6e0,79a6a3cc,0086,20,4.7,,20,10
0a1adf61,93a3ee83,f2959682,,1,,0,
e3f33ac9,f4cc1692,bb6c2490,,2.78,4,72,18
62f4dd3b,f4cc1692,0001,,2.8,2,30,15
9712632e,363e9bf3,0033,,1.33,1,24,24
f6ad34f7,363e9bf3,0049,,1.93,1,24,24
f104f7f3,363e9bf3,02d86a9b,,,4,96,24
420ad513,363e9bf3,bb4d1bd1,,,4,96,24
8f5a0682,363e9bf3,a19879cf,,,1,24,24
61727d96,f89f0ba4,0021,,2.25,2,48,24
bd7ccba4,f89f0ba4,d5b5f9d1,,2.6,1,15,15
f7432509,0924fefb,0001,,2.8,13,195,15
a9af125e,0924fefb,12b96290,,3,9,135,15
2da391b2,0924fefb,d5b5f9d1,,2.6,10,150,15
b4858ac4,859a6d00,f2959682,0,1,,0,
f96b7bda,e00ef670,bb6c2490,,2.78,10,180,18
388f37e0,e00ef670,d5b5f9d1,,2.6,1,15,15
55da24d0,35177ec8,0029,,2.25,2,48,24
394ab0b2,232714fb,8ed00567,,,12,144,12
af33bc11,232714fb,0011,,3.5,4,96,24
1f2c4dff,232714fb,70bdbe11,,,5,120,24
