product_id,sku,name,description,image,selling_price,purchase_price,min_stock,importance,product_group,barcode,units_per_box,sku_generated
0002,0002,Water,,Items_Images/water.jpg,1.0,0.3,5.0,5.0,TO_CONFIRM,TO_CONFIRM,12.0,no
0001,0001,Doritos,,Items_Images/doritos.avif,5.0,2.8,5.0,TO_CONFIRM,Doritos,TO_CONFIRM,15.0,no
e7e30487,e7e30487,Tiger paprika,,Items_Images/e7e30487.Image.135619.jpg,5.0,3.5,12.0,TO_CONFIRM,Tiger,TO_CONFIRM,TO_CONFIRM,no
52c15a06,52c15a06,Tiger kebab,,Items_Images/52c15a06.Image.135645.jpg,5.0,3.5,12.0,TO_CONFIRM,Tiger,TO_CONFIRM,TO_CONFIRM,no
9f3ec79c,9f3ec79c,Tiger chili and lemon,,Items_Images/9f3ec79c.Image.135723.jpg,5.0,3.5,12.0,TO_CONFIRM,Tiger,TO_CONFIRM,TO_CONFIRM,no
492147d3,492147d3,Tiger tomato,,Items_Images/492147d3.Image.135753.jpg,5.0,3.5,12.0,TO_CONFIRM,Tiger,TO_CONFIRM,TO_CONFIRM,no
e509f31d,e509f31d,Tiger sweet chili,,Items_Images/e509f31d.Image.135841.jpg,5.0,3.5,12.0,TO_CONFIRM,Tiger,TO_CONFIRM,TO_CONFIRM,no
308fcfb2,308fcfb2,MR Crunch Crunchy fries,,Items_Images/308fcfb2.Image.141308.jpg,TO_CONFIRM,TO_CONFIRM,5.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
e28d366b,e28d366b,Mr Crunch Veggys,,Items_Images/e28d366b.Image.141520.jpg,TO_CONFIRM,TO_CONFIRM,18.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
6670c5c1,6670c5c1,Vita go,,Items_Images/6670c5c1.Image.142625.jpg,3.0,1.75,8.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
2a5b5163,2a5b5163,Coco mix,,Items_Images/2a5b5163.Image.144243.jpg,TO_CONFIRM,TO_CONFIRM,1.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
364fe321,364fe321,Caesar mango,,Items_Images/364fe321.Image.145621.jpg,TO_CONFIRM,TO_CONFIRM,2.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
69692785,69692785,Bebeto,,Items_Images/69692785.Image.163406.jpg,TO_CONFIRM,TO_CONFIRM,1.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
f3465619,f3465619,Sweeto,,Items_Images/f3465619.Image.163523.jpg,TO_CONFIRM,TO_CONFIRM,0.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
52149040,52149040,test2,,Items_Images/52149040.Image.161824.jpg,4.0,2.0,0.0,1.0,TO_CONFIRM,TO_CONFIRM,10.0,no
f2959682,f2959682,test,,Items_Images/f2959682.Image.161830.jpg,2.0,1.0,0.0,1.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
d0a21a3b,d0a21a3b,Browniz moulin,,Items_Images/d0a21a3b.Image.104046.jpg,3.0,1.3,3.0,1.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
d0f577e2,d0f577e2,Marie biscuit,,Items_Images/d0f577e2.Image.104133.jpg,1.0,0.47,5.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
2f2e7440,2f2e7440,Crico,,Items_Images/2f2e7440.Image.104219.png,TO_CONFIRM,TO_CONFIRM,3.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
12b96290,12b96290,Doritos nacho,,Items_Images/12b96290.Image.170453.jpg,5.0,3.0,0.0,5.0,Doritos,TO_CONFIRM,15.0,no
73c36157,73c36157,Alain mini cola,,Items_Images/73c36157.Image.160931.jpg,2.0,1.58,0.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
cc35c9db,cc35c9db,Buldak,,Items_Images/cc35c9db.Image.100127.jpg,TO_CONFIRM,8.0,0.0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,no
d5b5f9d1,d5b5f9d1,Doritos green hot,,Items_Images/d5b5f9d1.Image.150625.jpg,5.0,2.6,10.0,5.0,Doritos,TO_CONFIRM,15.0,no
